name,release_date,image_src
A Little to the Left,2022-11-08,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1629520/header.jpg?t=1726509172
Let's School,2023-07-26,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1937500/header.jpg?t=1719545353
Escape the Backrooms,2022-08-11,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1943950/header.jpg?t=1721158394
DEVOUR,2021-01-28,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1274570/header_alt_assets_3.jpg?t=1726772217
Overcooked! 2,2018-08-07,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/728880/header.jpg?t=1726579239
Wartales,2023-04-12,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1527950/header_alt_assets_7.jpg?t=1725028528
Muse Dash,2019-06-19,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/774171/header.jpg?t=1726048226
Pummel Party,2018-09-20,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/880940/header.jpg?t=1725311353
Two Point Campus,2022-08-09,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1649080/header.jpg?t=1726485968
Rust,2018-02-08,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/252490/header.jpg?t=1724072904
Goose Goose Duck,2021-10-03,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1568590/header.jpg?t=1723753069
For The King,2018-04-19,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/527230/header.jpg?t=1727185221
Hydroneer,2020-05-08,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1106840/header.jpg?t=1725365055
Enshrouded,2024-01-24,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1203620/header.jpg?t=1726646462
We Were Here Together,2019-10-10,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/865360/header.jpg?t=1726842126
Ale & Tale Tavern,2024-09-05,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2683150/header.jpg?t=1727135429
ARK: Survival Evolved,2017-08-27,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/346110/header.jpg?t=1709879597
Sky: Children of the Light,2024-04-10,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2325290/header.jpg?t=1719875510
The Plucky Squire,2024-09-17,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1627570/header.jpg?t=1726822278
Kingdom Come: Deliverance,2018-02-13,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1190970/header.jpg?t=1726826221
White Day: A Labyrinth Named School,2017-08-22,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/466130/header.jpg?t=1727194452
Ravenswatch,2023-04-06,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2071280/header.jpg?t=1726153029
House Flipper 2,2023-12-14,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/899770/header.jpg?t=1726791244
Eternal Return,2023-07-19,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1049590/header.jpg?t=1727152042
PANICORE,2024-05-31,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2695940/header.jpg?t=1724627481
Last Epoch,2024-02-21,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1154360/header.jpg?t=1573819221
Party Animals,2023-09-20,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1260320/header_alt_assets_2.jpg?t=1726828129
Overcooked! All You Can Eat,2021-03-23,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1243830/header.jpg?t=1727103847
For Inco,2019-10-23,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1154360/header.jpg?t=1573819221
ALTF4,2021-04-23,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/288.png
"린, 퍼즐에 그려진 소녀 이야기",2021-04-02,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/325_1684716424985.png
타니나니 (TaniNani),2021-08-03,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/348_1684716470636.png
StarFall,2020-12-11,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/54627/application_no/54627/images/StarFall_cover.jpg
얼티메이트 좀비 디펜스 (Ultimate Zombie Defense),2021-07-30,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/425_1684716472004.png
헥셀렉트릭,2020-06-04,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/77_1684716423994.png
러브인 로그인 (시크릿 플러스),2022-12-22,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1563.png
[로열 에디션] 킹덤 컴: 딜리버런스,2021-12-21,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/542.png
여명,2020-12-11,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/54399/application_no/54399/images/33_thedawn_1_DEMO_01_r_tld.jpg
러브 딜리버리,2022-03-08,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/841.png
CARTA,2020-12-11,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/86158/application_no/86158/images/CARTA_cover.jpg
프로스토리 데모,2021-07-30,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/application_no/119001/images/FrostoryKey_visual_square3.png
Sliming,2020-10-15,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/86312/application_no/86312/images/Smliming_cover.png
귀곡팔황 (Tale of Immortal),2022-09-29,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1075.png
1812: 나폴레옹 전쟁 (1812: Napoleon Wars),2021-07-27,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/328_1684716472888.png
화산의 딸 (Volcano Princess),2023-12-12,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1937.png
갓 오브 웨폰(God Of Weapons),2023-09-12,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2067_GOWS_IND_r_tld.png
환생뎐,2021-03-21,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/application_no/119001/images/280x280_22.png
분더링 (Wunderling),2021-07-20,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/405_1684716471217.png
썸썸 편의점,2021-07-14,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/432.png
랜덤채팅의 그녀,2023-03-28,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1689.jpg
백야기담 시크릿 플러스,2023-09-27,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2164_ALBEDOCARTA_SECRET_IND_r_tld.jpg
시스터즈 커리큘럼,2024-04-19,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2129_SISCURRI_IND_v_tld.png
나는 자살을 결심했다,2021-09-13,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/application_no/119001/images/asd2.png
사망여각 (8Doors: Arum's Afterlife Adventure),2023-02-28,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1743.jpg
마작일번가 (Riichi City),2024-05-31,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/3412_RIICHICITY_IND_0_1714367533632.jpg
브란테 경의 삶과 고난 (The Life and Suffering of Sir Brante),2022-05-10,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/838.png
킹덤 컴: 딜리버런스 (Kingdom Come: Deliverance),2021-12-21,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/471.png
리프 인 부트스트랩,2023-06-22,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/1872_BOOTSTRAP_IND_r_tld.png
아시_Demo,2021-07-30,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/application_no/119001/images/474_AshiDemo_DEMO_01_r_tld.png
스테퍼 케이스: 초능력 추리 어드벤처,2023-03-10,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1384.jpg
황혼의 유령 (Phantom of the Twilight),2023-07-04,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/1947_POTT_IND_0_1710148168546.png
트러블슈터: 버려진 아이들,2021-04-07,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/136.png
러브인 로그인,2022-12-22,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1174.png
노마드 서바이벌 (Nomad Survival),2022-09-27,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1137.png
더스트 투 디 엔드 (Dust to the End),2022-04-14,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/910_1684716512336.png
배틀전설! 그랑가디오,2021-11-30,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/application_no/119001/images/684_GRANGUARDIO_DEMO_r_tld.png
크로니콘 (Chronicon) 컴플리트 에디션,2023-03-10,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1698.jpg
ATOM RPG 서포터 에디션,2022-05-17,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/942.png
레전드 오브 키퍼: 프롤로그,2020-09-25,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/65.png
블랙 아카데미 (시크릿 플러스),2022-07-19,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1045.png
노베나 디아볼로스,2020-10-27,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/18_1684716425144.png
봄을 부르는 설녀 (시크릿 플러스),2024-03-22,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/3324_WBSYOSP_PJT_IND_0_1710232718197.jpg
유어 블라이트,2022-12-01,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1336_1684716541256.png
청춘프레임 (Vibrant Frame),2023-10-26,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2165_VIFR_IND_0_1710146677824.png
네개의 빛 : 제 1세계 [Iruka Route] 시크릿 플러스,2023-06-15,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/1802_FOURLIGHTS_TORRIET_IND_r_tld.jpg
디스트로폴리스 (Destropolis),2021-06-16,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/326.png
블레이드 어썰트 (Blade Assault),2023-02-28,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1737.jpg
당신과 그녀와 그녀의 사랑 (YOU and ME and HER: A Love Story),2023-06-08,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1108.jpg
여기사 아가씨 - 미연시 & 비주얼 노벨,2023-11-23,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/c95d0677-c252-46a6-84ca-c58a1b87b4c6.jfif
돗가비,2021-11-30,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/application_no/119001/images/678_dotgavi_DEMO_1_0_1_r_tld.png
뱀파이어 서바이버즈 (Vampire Survivors),2022-10-21,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2173_ACTIONTAIMANIN_IND_r_tld.jpg
호텔 소울즈,2020-07-09,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1243.png
백영웅전 라이징 (Eiyuden Chronicle: Rising),2022-05-11,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/73.png
던전코딩,2021-01-21,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/887.png
액션 대마인 (Action Taimanin),2023-10-30,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/application_no/119001/images/dcm_2.png
비포 더 나이트,2022-05-04,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/932.jpg
Strange ONE,2021-11-30,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/application_no/119001/images/681_strangeone_DEMO_01_r_tld.png
